eth_slippage_wei,solver_address,solver_name,usd_value
835002847469512.6,0x0d2584da2f637805071f184bcfa1268ebae8a24a,barn-Baseline,1.3936830734758132
-1.506480511028781e+16,0x109bf9e0287cc95cc623fbe7380dd841d4bdeb03,barn-Otex,-25.150596968514424
5.945213299693299e+17,0x149d0f9282333681ee41d30589824b2798e9fb47,prod-PLM,982.2811186105214
-51293.605093836864,0x1857afb4da9bd4cc1c6e5287ad41cb5be469f14e,barn-Raven,-8.561291666666669e-11
-1023471244992.1813,0x22dee0935c77d32c7241362b14e76fc2d5ef657d,barn-Gnosis_BalancerSOR,-0.0016961064965764323
-3027557103.8795953,0x398890be7c4fac5d766e1aeffde44b2ee99f38ef,prod-Seasolver,-5.044193648805894e-06
3.363833831067389e+17,0x3cee8c7d9b5c8f225a8c36e7d3514e1860309651,prod-Baseline,532.1872755958564
-1.1175153368591078e+18,0x55a37a2e5e5973510ac9d9c723aec213fa161919,prod-Barter,-1845.4879895369252
8886071496568200.0,0x5b0bfe439ab45a4f002c259b1654ed21c9a42d69,barn-PLM,14.585316362202999
-9174279960512040.0,0x6d1247b8acf4dfd5ff8cfd6c47077ddc43d4500e,prod-DexCowAgg,-14.46886828785184
2600481342733127.0,0x7a0a8890d71a4834285efdc1d18bb3828e765c6a,prod-Naive,4.445422983430012
-2429.0210565697566,0x8a4e90e9afc809a69d2a3bdbe5fff17a12979609,barn-Seasolver,-3.85763157333333e-12
-9.003846682377463e+17,0x97ec0a17432d71a3234ef7173c6b48a2c0940896,prod-Quasilabs,-1537.2606125967977
1.0639615317282989e+18,0xa21740833858985e4d801533a808786d3647fb83,prod-Laertes,1731.2553052722606
-2.994599934906403e+17,0xb20b86c4e6deeb432a22d773a221898bbbd03036,prod-Gnosis_1inch,-484.5015101221388
2.1680435854559344e+17,0xbff9a1b539516f9e20c7b621163e676949959a66,prod-Raven,354.8514410763635
5.693380493247458e+17,0xc9ec550bea1c64d779124b23a26292cc223327b6,prod-Otex,948.8869160492749
-2.2312404092884477e+17,0xda869be4adea17ad39e1dfece1bc92c02491504f,prod-Gnosis_0x,-367.6976668467329
2926277166546094.5,0xdae69affe582d36f330ee1145995a53fab670962,barn-DexCowAgg,4.438940510030138
-6.213939795210108e+17,0xde786877a10dbb7eba25a4da65aecf47654f08ab,barn-Gnosis_0x,-1013.561786640738
-7.256765951211992e+16,0xe33062a24149f7801a48b2675ed5111d3278f0f5,barn-Gnosis_1inch,-118.50917147845465
-1.2165636392342395e+17,0xe9ae2d792f981c53ea7f6493a17abf5b2a45a86b,prod-Gnosis_ParaSwap,-194.5494606244503
-592879581835659.0,0xf7995b6b051166ea52218c37b8d03a2a6bbef3da,prod-Gnosis_BalancerSOR,-0.9377759297425149
-1.4110932086250482e+17,0xffc5e9d86c0e069f8b037c841acc72cf94eebad8,barn-Barter,-233.63653303683859
