token_type,token_address,receiver,amount
erc20,0xDEf1CA1fb7FBcDC777520aa7f396b4E015F497aB,0x84dbAE2549d67CaF00f65C355de3D6F4df59A32C,152775.63946141148
erc20,0xDEf1CA1fb7FBcDC777520aa7f396b4E015F497aB,0x6C642caFCbd9d8383250bb25F67aE409147f78b2,98755.84073018428
erc20,0xDEf1CA1fb7FBcDC777520aa7f396b4E015F497aB,0xB2153CAA185484fD377f488d89143A7FD76695ce,79461.1818656179
erc20,0xDEf1CA1fb7FBcDC777520aa7f396b4E015F497aB,0x926D0e6927b9086bae93A61c418A73D564e6ee0a,48482.43522246444
erc20,0xDEf1CA1fb7FBcDC777520aa7f396b4E015F497aB,0x506109C8C43B1838a466f37dc3F57019fA0537cA,31856.22663931628
erc20,0xDEf1CA1fb7FBcDC777520aa7f396b4E015F497aB,0xBC49a57bFaaaAb348b9897692ab77D12995e1315,23032.407068912315
erc20,0xDEf1CA1fb7FBcDC777520aa7f396b4E015F497aB,0x2C01B4AD51a67E2d8F02208F54dF9aC4c0B778B6,7860.606652751029
erc20,0xDEf1CA1fb7FBcDC777520aa7f396b4E015F497aB,0x9999FF1de7A33aCa7aD3D2a2f47Ab90CAfAC991a,562.0863529345378
native,,0xc9ec550BEA1C64D779124b23A26292cc223327b6,22.257029866770306
native,,0xA21740833858985e4D801533a808786d3647Fb83,13.722280112921277
native,,0xb20B86C4e6DEEB432A22D773a221898bBBD03036,10.986129696080653
native,,0x149d0f9282333681Ee41D30589824b2798E9fb47,8.721792134537354
native,,0xBFF9a1B539516F9e20c7b621163e676949959a66,3.1508650554110536
native,,0x97Ec0a17432D71a3234EF7173C6B48a2C0940896,2.4488076968281973
native,,0x398890BE7c4FAC5d766E1AEFFde44B2EE99F38EF,2.1992670642723935
native,,0xB2153CAA185484fD377f488d89143A7FD76695ce,1.4031631419943802
native,,0xF7995B6B051166eA52218c37b8d03A2A6bbeF3DA,1.0427594956470339
native,,0x926D0e6927b9086bae93A61c418A73D564e6ee0a,0.910445730294497
native,,0x3Cee8C7d9B5C8F225A8c36E7d3514e1860309651,0.8279130504672888
native,,0xdA869Be4AdEA17AD39E1DFeCe1bC92c02491504f,0.3364294257149924
native,,0x6D1247b8ACf4dFD5Ff8cfD6C47077ddC43d4500E,0.31121082875795153
native,,0xE9aE2D792F981C53EA7f6493A17Abf5B2a45a86b,0.2796387085353968
native,,0xe33062a24149f7801a48B2675Ed5111d3278F0f5,0.1520509770165419
native,,0xDe786877a10DBb7EBa25a4DA65aEcf47654F08ab,0.13157825359409472
native,,0x109BF9E0287Cc95cc623FBE7380dD841d4bdEb03,0.10757158592447982
native,,0x0a308697e1d3a91dcB1e915C51F8944AaEc9015F,0.10726592680547037
native,,0xdAE69AffE582d36f330Ee1145995A53Fab670962,0.0910086673061512
native,,0xBC49a57bFaaaAb348b9897692ab77D12995e1315,0.0770133416522478
native,,0x1857aFB4Da9Bd4cC1c6E5287ad41Cb5bE469f14e,0.06862756729171769
native,,0x7A0A8890D71A4834285efDc1D18bb3828e765C6A,0.06832319124522715
native,,0x6C642caFCbd9d8383250bb25F67aE409147f78b2,0.06599036806128289
native,,0x5B0BFe439ab45A4F002C259b1654ED21c9a42D69,0.05216681679653983
native,,0x22DEE0935c77d32c7241362b14e76fc2D5eF657d,0.026494157598153024
native,,0x55A37A2E5e5973510Ac9D9C723aeC213fA161919,0.018214747960964273
native,,0x080a8b1E2f3695E179453c5e617b72A381BE44B9,0.01663538662769341
native,,0x0d2584DA2F637805071f184bCFa1268eBAe8a24A,0.013788273753298143
native,,0x2C01B4AD51a67E2d8F02208F54dF9aC4c0B778B6,3.357056306e-09
